Date,Close/Last
5/31/2022,$78.50 
6/1/2022,$76.28 
6/2/2022,$79.42 
6/3/2022,$79.05 
6/6/2022,$78.98 
6/7/2022,$79.47 
6/8/2022,$78.47 
6/9/2022,$78.91 
6/10/2022,$75.67 
6/13/2022,$72.36 
6/14/2022,$72.31 
6/15/2022,$74.19 
6/16/2022,$70.95 
6/17/2022,$71.87 
6/21/2022,$72.96 
6/22/2022,$73.30 
6/23/2022,$75.20 
6/24/2022,$78.11 
6/27/2022,$77.68 
6/28/2022,$76.34 
6/29/2022,$76.43 
6/30/2022,$76.39 
7/1/2022,$79.26 
7/5/2022,$79.52 
7/6/2022,$78.86 
7/7/2022,$79.24 
7/8/2022,$79.28 
7/11/2022,$77.90 
7/12/2022,$77.76 
7/13/2022,$77.92 
7/14/2022,$78.20 
7/15/2022,$79.62 
7/18/2022,$80.23 
7/19/2022,$82.55 
7/20/2022,$83.27 
7/21/2022,$83.54 
7/22/2022,$83.59 
7/25/2022,$81.50 
7/26/2022,$80.31 
7/27/2022,$82.96 
7/28/2022,$84.67 
7/29/2022,$84.78 
8/1/2022,$84.91 
8/2/2022,$83.71 
8/3/2022,$87.27 
8/4/2022,$86.88 
8/5/2022,$85.73 
8/8/2022,$85.72 
8/9/2022,$84.84 
8/10/2022,$86.49 
8/11/2022,$87.27 
8/12/2022,$88.31 
8/15/2022,$89.16 
8/16/2022,$89.40 
8/17/2022,$88.35 
8/18/2022,$88.55 
8/19/2022,$86.92 
8/22/2022,$84.95 
8/23/2022,$84.69 
8/24/2022,$86.05 
8/25/2022,$87.39 
8/26/2022,$84.06 
8/29/2022,$84.12 
8/30/2022,$83.41 
8/31/2022,$84.07 
9/1/2022,$85.40 
9/2/2022,$82.94 
9/6/2022,$84.52 
9/7/2022,$88.31 
9/8/2022,$89.46 
9/9/2022,$88.69 
9/12/2022,$89.07 
9/13/2022,$87.84 
9/14/2022,$92.70 
9/15/2022,$92.22 
9/16/2022,$91.31 
9/19/2022,$92.14 
9/20/2022,$90.79 
9/21/2022,$88.60 
9/22/2022,$84.70 
9/23/2022,$84.17 
9/26/2022,$84.81 
9/27/2022,$84.28 
9/28/2022,$87.11 
9/29/2022,$86.57 
9/30/2022,$84.26 
10/3/2022,$85.62 
10/4/2022,$88.51 
10/5/2022,$90.12 
10/6/2022,$89.35 
10/7/2022,$87.03 
10/10/2022,$87.06 
10/11/2022,$86.21 
10/12/2022,$86.87 
10/13/2022,$89.37 
10/14/2022,$86.37 
10/17/2022,$88.90 
10/18/2022,$88.96 
10/19/2022,$87.52 
10/20/2022,$86.79 
10/21/2022,$88.61 
10/24/2022,$83.76 
10/25/2022,$85.21 
10/26/2022,$85.89 
10/27/2022,$85.28 
10/28/2022,$87.10 
10/31/2022,$86.59 
11/1/2022,$87.10 
11/2/2022,$84.58 
11/3/2022,$84.68 
11/4/2022,$91.86 
11/7/2022,$90.45 
11/8/2022,$92.75 
11/9/2022,$91.63 
11/10/2022,$96.26 
11/11/2022,$97.38 
11/14/2022,$97.42 
11/15/2022,$97.83 
11/16/2022,$97.07 
11/17/2022,$96.97 
11/18/2022,$97.95 
11/21/2022,$98.32 
11/22/2022,$98.43 
11/23/2022,$99.52 
11/25/2022,$99.56 
11/28/2022,$98.66 
11/29/2022,$98.66 
11/30/2022,$102.20 
